0.01	-nan	-nan
4.69	3.81406	299.802
4.7	3.80028	297.064
4.71	3.78667	294.358
4.72	3.77323	291.684
4.73	3.75996	289.043
4.74	3.74685	286.433
4.75	3.7339	283.855
4.76	3.72111	281.308
4.77	3.70848	278.793
4.78	3.69601	276.309
4.79	3.68369	273.856
4.8	3.67152	271.435
4.81	3.6595	269.044
4.82	3.64763	266.683
4.83	3.63591	264.354
4.84	3.62433	262.054
4.85	3.6129	259.784
4.86	3.6016	257.545
4.87	3.59045	255.335
4.88	3.57943	253.154
4.89	3.56855	251.003
4.9	3.5578	248.88
4.91	3.54718	246.786
4.92	3.53669	244.72
4.93	3.52633	242.683
4.94	3.51609	240.674
4.95	3.50598	238.692
4.96	3.496	236.738
4.97	3.48613	234.811
4.98	3.47638	232.911
4.99	3.46675	231.037
5	3.45724	229.19
5.01	3.44784	227.369
5.02	3.43855	225.573
5.03	3.42937	223.803
5.04	3.42031	222.059
5.05	3.41135	220.339
5.06	3.40249	218.644
5.07	3.39374	216.974
5.08	3.3851	215.327
5.09	3.37655	213.705
5.1	3.36811	212.106
5.11	3.35976	210.53
5.12	3.35151	208.977
5.13	3.34336	207.447
5.14	3.3353	205.94
5.15	3.32733	204.454
5.16	3.31945	202.991
5.17	3.31167	201.549
5.18	3.30397	200.128
5.19	3.29636	198.728
5.2	3.28884	197.349
5.21	3.2814	195.991
5.22	3.27404	194.653
5.23	3.26677	193.334
5.24	3.25957	192.036
5.25	3.25246	190.757
5.26	3.24543	189.496
5.27	3.23847	188.255
5.28	3.23159	187.033
5.29	3.22478	185.828
5.3	3.21805	184.642
5.31	3.21139	183.474
5.32	3.2048	182.323
5.33	3.19828	181.189
5.34	3.19184	180.073
5.35	3.18546	178.973
5.36	3.17914	177.89
5.37	3.1729	176.823
5.38	3.16672	175.772
5.39	3.1606	174.738
5.4	3.15455	173.718
5.41	3.14856	172.714
5.42	3.14263	171.726
5.43	3.13677	170.752
5.44	3.13096	169.793
5.45	3.12521	168.848
5.46	3.11952	167.918
5.47	3.11389	167.001
5.48	3.10832	166.099
5.49	3.1028	165.21
5.5	3.09733	164.334
5.51	3.09192	163.472
5.52	3.08656	162.622
5.53	3.08126	161.786
5.54	3.076	160.962
5.55	3.0708	160.15
5.56	3.06565	159.35
5.57	3.06055	158.563
5.58	3.05549	157.787
5.59	3.05049	157.023
5.6	3.04553	156.27
5.61	3.04062	155.529
5.62	3.03576	154.799
5.63	3.03094	154.079
5.64	3.02617	153.371
5.65	3.02144	152.672
5.66	3.01676	151.985
5.67	3.01212	151.307
5.68	3.00752	150.64
5.69	3.00296	149.982
5.7	2.99845	149.334
5.71	2.99398	148.696
5.72	2.98955	148.067
5.73	2.98515	147.448
5.74	2.9808	146.837
5.75	2.97649	146.236
5.76	2.97222	145.643
5.77	2.96798	145.06
5.78	2.96378	144.484
5.79	2.95962	143.917
5.8	2.9555	143.359
5.81	2.95141	142.809
5.82	2.94736	142.266
5.83	2.94334	141.732
5.84	2.93936	141.205
5.85	2.93542	140.686
5.86	2.93151	140.174
5.87	2.92763	139.67
5.88	2.92379	139.173
5.89	2.91998	138.684
5.9	2.9162	138.201
5.91	2.91246	137.725
5.92	2.90874	137.256
5.93	2.90506	136.794
5.94	2.90141	136.339
5.95	2.8978	135.89
5.96	2.89421	135.447
5.97	2.89065	135.011
5.98	2.88713	134.581
5.99	2.88363	134.157
6	2.88017	133.739
6.01	2.87673	133.327
6.02	2.87332	132.921
6.03	2.86994	132.52
6.04	2.86659	132.125
6.05	2.86327	131.736
6.06	2.85998	131.352
6.07	2.85671	130.974
6.08	2.85348	130.601
6.09	2.85027	130.233
6.1	2.84708	129.87
6.11	2.84393	129.512
6.12	2.8408	129.16
6.13	2.83769	128.812
6.14	2.83461	128.469
6.15	2.83156	128.13
6.16	2.82854	127.797
6.17	2.82554	127.468
6.18	2.82256	127.143
6.19	2.81961	126.823
6.2	2.81669	126.508
6.21	2.81379	126.197
6.22	2.81091	125.89
6.23	2.80806	125.587
6.24	2.80524	125.288
6.25	2.80243	124.994
6.26	2.79966	124.703
6.27	2.7969	124.417
6.28	2.79417	124.134
6.29	2.79146	123.855
6.3	2.78878	123.58
6.31	2.78612	123.309
6.32	2.78348	123.041
6.33	2.78086	122.777
6.34	2.77827	122.517
6.35	2.7757	122.26
6.36	2.77315	122.006
6.37	2.77062	121.756
6.38	2.76812	121.51
6.39	2.76564	121.266
6.4	2.76318	121.026
6.41	2.76074	120.789
6.42	2.75832	120.556
6.43	2.75592	120.325
6.44	2.75355	120.098
6.45	2.7512	119.873
6.46	2.74886	119.652
6.47	2.74655	119.433
6.48	2.74426	119.218
6.49	2.74199	119.005
6.5	2.73974	118.795
6.51	2.73751	118.588
6.52	2.7353	118.384
6.53	2.73311	118.182
6.54	2.73094	117.983
6.55	2.7288	117.787
6.56	2.72667	117.594
6.57	2.72456	117.403
6.58	2.72247	117.214
6.59	2.7204	117.028
6.6	2.71835	116.845
6.61	2.71632	116.663
6.62	2.7143	116.485
6.63	2.71231	116.308
6.64	2.71034	116.134
6.65	2.70838	115.963
6.66	2.70645	115.793
6.67	2.70453	115.626
6.68	2.70263	115.461
6.69	2.70075	115.298
6.7	2.69889	115.138
6.71	2.69705	114.979
6.72	2.69523	114.823
6.73	2.69342	114.669
6.74	2.69163	114.517
6.75	2.68986	114.366
6.76	2.68811	114.218
6.77	2.68638	114.072
6.78	2.68466	113.928
6.79	2.68296	113.785
6.8	2.68128	113.645
6.81	2.67962	113.506
6.82	2.67798	113.369
6.83	2.67635	113.235
6.84	2.67474	113.101
6.85	2.67314	112.97
6.86	2.67157	112.84
6.87	2.67001	112.713
6.88	2.66847	112.586
6.89	2.66694	112.462
6.9	2.66543	112.339
6.91	2.66394	112.218
6.92	2.66247	112.098
6.93	2.66101	111.98
6.94	2.65957	111.864
6.95	2.65815	111.749
6.96	2.65674	111.636
6.97	2.65535	111.524
6.98	2.65397	111.414
6.99	2.65261	111.305
7	2.65127	111.198
7.01	2.64994	111.092
7.02	2.64863	110.988
7.03	2.64733	110.885
7.04	2.64605	110.783
7.05	2.64479	110.683
7.06	2.64354	110.584
7.07	2.64231	110.487
7.08	2.64109	110.391
7.09	2.63989	110.296
7.1	2.63871	110.202
7.11	2.63754	110.11
7.12	2.63638	110.019
7.13	2.63524	109.929
7.14	2.63412	109.841
7.15	2.63301	109.753
7.16	2.63191	109.667
7.17	2.63083	109.582
7.18	2.62977	109.498
7.19	2.62872	109.416
7.2	2.62768	109.334
7.21	2.62666	109.254
7.22	2.62566	109.175
7.23	2.62466	109.097
7.24	2.62369	109.02
7.25	2.62272	108.944
7.26	2.62178	108.869
7.27	2.62084	108.795
7.28	2.61992	108.722
7.29	2.61902	108.65
